Regressierte Tests bei 10.0% Tolleranz : 
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testRecursiveCopyOnInclusionPattern Score: 0.083 Bais Test Score: 0.064
testAlternative2 Score: 0.00975 Bais Test Score: 0.008333333333333333
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testImport2 Score: 0.013 Bais Test Score: 0.0115
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testImport1 Score: 0.007 Bais Test Score: 0.006
testAlternative9 Score: 0.006499999999999999 Bais Test Score: 0.005666666666666667
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testCollectionReturn Score: 0.069 Bais Test Score: 0.0625
net.ssehub.easy.instantiation.core.model.artifactmodel.XmlFileArtifactTest.testDTD Score: 0.106 Bais Test Score: 0.07100000000000001
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testQm1o2 Score: 0.048 Bais Test Score: 0.035
net.ssehub.easy.instantiation.core.model.expressions.CallExpressionTest.testNonStaticExpression Score: 0.002 Bais Test Score: 0.0015
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testTimeout1 Score: 0.065 Bais Test Score: 0.051000000000000004
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testAlternative1 Score: 0.013 Bais Test Score: 0.01
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testAlternative2 Score: 0.02 Bais Test Score: 0.01
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testTypeSelect Score: 0.083 Bais Test Score: 0.07100000000000001
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testString1 Score: 0.084 Bais Test Score: 0.0675
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testFail2 Score: 0.033 Bais Test Score: 0.021
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testWhileLoop1 Score: 0.093 Bais Test Score: 0.063
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testFail1 Score: 0.021 Bais Test Score: 0.0125
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testConstructor Score: 0.096 Bais Test Score: 0.064
